sec	CH1	CH2	CH40	CH41	
6.293	-0.114746	-0.0146484	177.515	0.338	
6.2935	-0.107422	-0.0146484	177.515	0.338	
6.294	-0.100098	-0.0146484	177.515	0.338	
6.2945	-0.0927734	-0.0146484	177.515	0.338	
6.295	-0.0854492	-0.0146484	177.515	0.338	
6.2955	-0.0756836	-0.0146484	177.515	0.338	
6.296	-0.0683594	-0.0146484	177.515	0.338	
6.2965	-0.0610352	-0.0146484	177.515	0.338	
6.297	-0.0537109	-0.0146484	177.515	0.338	
6.2975	-0.0463867	-0.0146484	177.515	0.338	
6.298	-0.0415039	-0.0146484	177.515	0.338	
6.2985	-0.0366211	-0.0146484	177.515	0.338	
6.299	-0.0317383	-0.0146484	177.515	0.338	
6.2995	-0.0292969	-0.0146484	177.515	0.338	
6.3	-0.0244141	-0.0146484	177.515	0.338	
6.3005	-0.0219727	-0.0146484	177.515	0.338	
6.301	-0.0170898	-0.0146484	177.515	0.338	
6.3015	-0.0146484	-0.0146484	177.515	0.338	
6.302	-0.012207	-0.0146484	177.515	0.338	
6.3025	-0.00732422	-0.0146484	177.515	0.338	
6.303	-0.00488281	-0.0146484	177.515	0.338	
6.3035	-0.00244141	-0.0146484	177.515	0.338	
6.304	0.00244141	-0.0146484	177.515	0.338	
6.3045	0.00488281	-0.0146484	177.515	0.338	
6.305	0.00732422	-0.0146484	177.515	0.338	
6.3055	0.012207	-0.0146484	177.515	0.338	
6.306	0.0146484	-0.0146484	177.515	0.338	
6.3065	0.0195313	-0.0146484	177.515	0.338	
6.307	0.0244141	-0.0146484	177.515	0.338	
6.3075	0.0268555	-0.0146484	177.515	0.338	
6.308	0.0317383	-0.0146484	177.515	0.338	
6.3085	0.0341797	-0.0146484	177.515	0.338	
6.309	0.0366211	-0.0146484	177.515	0.338	
6.3095	0.0390625	-0.0146484	177.515	0.338	
6.31	0.0415039	-0.0146484	177.515	0.338	
6.3105	0.0439453	-0.0146484	177.515	0.338	
6.311	0.0439453	-0.0146484	177.515	0.338	
6.3115	0.0463867	-0.0146484	177.515	0.338	
6.312	0.0488281	-0.0146484	177.515	0.338	
6.3125	0.0512695	-0.0146484	177.515	0.338	
6.313	0.0512695	-0.0146484	177.515	0.338	
6.3135	0.0537109	-0.0146484	177.515	0.338	
6.314	0.0537109	-0.0146484	177.515	0.338	
6.3145	0.0561523	-0.0146484	177.515	0.338	
6.315	0.0561523	-0.0146484	177.515	0.338	
6.3155	0.0537109	-0.0146484	177.515	0.338	
6.316	0.0537109	-0.0146484	177.515	0.338	
6.3165	0.0512695	-0.0146484	177.515	0.338	
6.317	0.0488281	-0.0146484	177.515	0.338	
6.3175	0.0439453	-0.0146484	177.515	0.338	
6.318	0.0415039	-0.0146484	177.515	0.338	
6.3185	0.0366211	-0.0146484	177.515	0.338	
6.319	0.0341797	-0.0146484	177.515	0.338	
6.3195	0.0292969	-0.0146484	177.515	0.338	
6.32	0.0268555	-0.0146484	177.515	0.338	
